Code,Price,24hr Price Change,24hr % Change,24hr Low,24hr High,24hr Trading Volume,24hr Trading Volume % Change,Market Dominance,Market Rank,Market Cap,Fully Diluted Market Cap,Yesterday Low,Yesterday High,Yesterday Open,Yesterday Close,Yesterday Volume,7 Day Low,7 Day High,30 Day Low,30 Day High,90 Day Low,90 Day High,52 Week Low,52 Week High,All Time High,All Time High %,All Time Low,All Time Low %,Return on Investment,Cirulating Supply,Total Supply,Max Supply,About,Link
XLM,$0.4301,$0.01155,2.76%,$0.3995,$0.4380,"$1,271,819,463.59",5.39%,1.00%,11,"$9,695,032,882.21","$21,507,623,289.99",$0.3995,$0.4365,$0.4304,$0.4196,"$1,167,447,986.73",$0.3578,$0.4709,$0.3139,$0.6008,$0.1132,$0.6008,$0.02849,$0.6008,$0.9381,54.15%,$0.001227,34953.13%,14355.03%,"22,539,411,011 XLM","50,001,803,469 XLM","50,001,806,812 XLM","The live Stellar price today is $0.430137 USD with a 24-hour trading volume of $1,271,819,464 USD. Stellar is up 2.76% in the last 24 hours. The current CoinMarketCap ranking is #11, with a live market cap of $9,695,032,882 USD. It has a circulating supply of 22,539,411,011 XLM coins and a max. supply of 50,001,806,812 XLM coins.The top exchanges for trading in Stellar are currently Binance, Huobi Global, OKEx, BitZ, and CoinTiger. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/stellar/
USDC,$1.00,$-0.00003341,0.00%,$0.9998,$1.00,"$2,047,356,884.73",43.90%,1.00%,12,"$8,659,200,091.66","$8,812,180,598.63",$0.9996,$1.00,$0.9998,$1.00,"$1,949,254,168.65",$0.9996,$1.00,$0.9982,$1.00,$0.9922,$1.01,$0.9292,$1.08,$1.11,10.21%,$0.9292,7.62%,0.4%,"8,658,749,218 USDC","8,811,721,759 USDC",No Data,"The live USD Coin price today is $1.00 USD with a 24-hour trading volume of $2,047,356,885 USD. USD Coin is up 0.00% in the last 24 hours. The current CoinMarketCap ranking is #12, with a live market cap of $8,659,200,092 USD. It has a circulating supply of 8,658,749,218 USDC coins and the max. supply is not available.The top exchanges for trading in USD Coin are currently Binance, Huobi Global, OKEx, BiKi, and IndoEx. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/usd-coin/
UNI,$26.32,$0.4571,1.77%,$24.64,$27.57,"$797,549,364.73",32.33%,1.00%,13,"$8,203,535,367.16","$26,315,486,597.15",$24.64,$27.35,$25.49,$25.61,"$1,232,183,265.34",$20.63,$27.57,$17.16,$32.63,$2.93,$32.63,$0.4190,$32.63,$32.63,19.36%,$0.4190,6180.58%,,"311,737,932 UNI","1,000,000,000 UNI","1,000,000,000 UNI","The live Uniswap price today is $26.32 USD with a 24-hour trading volume of $797,549,365 USD. Uniswap is up 1.77% in the last 24 hours. The current CoinMarketCap ranking is #13, with a live market cap of $8,203,535,367 USD. It has a circulating supply of 311,737,932 UNI coins and a max. supply of 1,000,000,000 UNI coins.The top exchanges for trading in Uniswap are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/uniswap/
XEM,$0.8003,$0.08976,12.63%,$0.7242,$0.8652,"$1,373,446,564.84",63.27%,,,,,$0.6362,$0.7746,$0.6565,$0.7729,"$1,013,982,342.01",$0.4359,$0.8652,$0.2536,$0.8652,$0.1794,$0.8652,$0.02661,$0.8652,$2.09,61.74%,$0.00007930,1009133.36%,199752.18%,"8,999,999,999 XEM","8,999,999,999 XEM","8,999,999,999 XEM","The live NEM price today is $0.800322 USD with a 24-hour trading volume of $1,373,446,565 USD. NEM is up 12.63% in the last 24 hours. The current CoinMarketCap ranking is #14, with a live market cap of $7,202,898,495 USD. It has a circulating supply of 8,999,999,999 XEM coins and a max. supply of 8,999,999,999 XEM coins.The top exchanges for trading in NEM are currently Binance, Huobi Global, OKEx, CoinTiger, and Upbit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/nem/
DOGE,$0.05090,$0.001393,2.81%,$0.04942,$0.05213,"$1,228,078,737.22",17.46%,,,,,$0.04930,$0.05238,$0.05060,$0.05026,"$1,346,282,317.90",$0.04509,$0.05781,$0.02919,$0.08495,$0.003009,$0.08495,$0.001247,$0.08495,$0.08495,40.07%,$0.00008547,59458.46%,9014.06%,"128,605,640,069 DOGE","128,605,640,069 DOGE",No Data,"The live Dogecoin price today is $0.050905 USD with a 24-hour trading volume of $1,228,078,737 USD. Dogecoin is up 2.81% in the last 24 hours. The current CoinMarketCap ranking is #15, with a live market cap of $6,546,620,759 USD. It has a circulating supply of 128,605,640,069 DOGE coins and the max. supply is not available.The top exchanges for trading in Dogecoin are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/dogecoin/
WBTC,"$51,144.68","$3,071.19",6.39%,"$47,227.39","$52,398.88","$198,503,439.65",17.00%,,,,,"$47,227.39","$50,216.90","$49,525.58","$48,205.64","$206,370,296.65","$43,527.60","$52,398.88","$33,577.73","$58,175.01","$17,624.47","$58,175.01","$4,174.18","$58,175.01","$58,175.01",12.08%,"$3,330.12",1435.82%,1363.67%,"123,420 WBTC","123,420 WBTC",No Data,"The live Wrapped Bitcoin price today is $51,144.68 USD with a 24-hour trading volume of $198,503,440 USD. Wrapped Bitcoin is up 6.39% in the last 24 hours. The current CoinMarketCap ranking is #16, with a live market cap of $6,312,290,081 USD. It has a circulating supply of 123,420 WBTC coins and the max. supply is not available.The top exchanges for trading in Wrapped Bitcoin are currently Binance, Huobi Global, OKEx, Coinbase Pro, and HitBTC. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/wrapped-bitcoin/
AAVE,$403.81,$7.70,1.94%,$379.15,$413.64,"$506,549,497.84",24.36%,,,,,$379.03,$411.89,$385.59,$390.93,"$731,511,612.10",$302.17,$413.64,$285.17,$559.12,$63.68,$559.12,$25.97,$559.12,$559.12,27.78%,$25.97,1455.13%,77648.16%,"12,422,016 AAVE","16,000,000 AAVE","16,000,000 AAVE","The live Aave price today is $403.81 USD with a 24-hour trading volume of $506,549,498 USD. Aave is up 1.94% in the last 24 hours. The current CoinMarketCap ranking is #17, with a live market cap of $5,016,106,987 USD. It has a circulating supply of 12,422,016 AAVE coins and a max. supply of 16,000,000 AAVE coins.The top exchanges for trading in Aave are currently Binance, Huobi Global, OKEx, HBTC, and BitZ. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/aave/
ATOM,$19.50,$0.4629,2.43%,$18.10,$20.03,"$516,268,649.71",21.82%,,,,,$18.10,$20.37,$18.61,$18.82,"$718,143,874.71",$16.20,$20.53,$8.69,$26.42,$4.24,$26.42,$1.13,$26.42,$26.42,26.18%,$1.13,1624.56%,202.87%,"211,236,431 ATOM","269,021,034 ATOM",No Data,"The live Cosmos price today is $19.50 USD with a 24-hour trading volume of $516,268,650 USD. Cosmos is up 2.43% in the last 24 hours. The current CoinMarketCap ranking is #18, with a live market cap of $4,119,977,256 USD. It has a circulating supply of 211,236,431 ATOM coins and the max. supply is not available.The top exchanges for trading in Cosmos are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/cosmos/
XMR,$219.88,$5.00,2.33%,$211.80,$228.96,"$689,495,214.53",9.74%,,,,,$211.80,$232.48,$230.26,$220.96,"$638,715,292.67",$194.12,$230.48,$142.41,$288.24,$122.95,$288.24,$26.70,$288.24,$495.84,55.65%,$0.2130,103147.54%,8769.35%,"17,853,485 XMR","17,853,485 XMR",No Data,"The live Monero price today is $219.88 USD with a 24-hour trading volume of $689,495,215 USD. Monero is up 2.33% in the last 24 hours. The current CoinMarketCap ranking is #19, with a live market cap of $3,925,674,523 USD. It has a circulating supply of 17,853,485 XMR coins and the max. supply is not available.The top exchanges for trading in Monero are currently Binance, Huobi Global, OKEx, HBTC, and Hydax Exchange. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/monero/
THETA,$3.85,$0.1481,4.00%,$3.53,$3.91,"$246,921,008.89",2.95%,,,,,$3.25,$3.88,$3.28,$3.75,"$366,009,137.92",$2.84,$3.91,$2.00,$3.91,$0.6381,$3.91,$0.03977,$3.91,$3.91,1.42%,$0.03977,9586.50%,2402.81%,"1,000,000,000 THETA","1,000,000,000 THETA","1,000,000,000 THETA","The live THETA price today is $3.85 USD with a 24-hour trading volume of $246,921,009 USD. THETA is up 4.00% in the last 24 hours. The current CoinMarketCap ranking is #20, with a live market cap of $3,852,406,431 USD. It has a circulating supply of 1,000,000,000 THETA coins and a max. supply of 1,000,000,000 THETA coins.The top exchanges for trading in THETA are currently Binance, Huobi Global, OKEx, FTX, and Upbit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/theta/
CRO,$0.1564,$0.005064,3.35%,$0.1473,$0.1613,"$240,727,689.79",9.46%,,,,,$0.1448,$0.1583,$0.1495,$0.1523,"$194,278,725.60",$0.1271,$0.1776,$0.06016,$0.2710,$0.05383,$0.2710,$0.02521,$0.2710,$0.2710,42.28%,$0.01149,1261.53%,692.58%,"24,143,835,615 CRO","100,000,000,000 CRO","40,400,000,000 CRO","The live Crypto.com Coin price today is $0.156395 USD with a 24-hour trading volume of $240,727,690 USD. Crypto.com Coin is up 3.35% in the last 24 hours. The current CoinMarketCap ranking is #21, with a live market cap of $3,775,972,411 USD. It has a circulating supply of 24,143,835,615 CRO coins and a max. supply of 40,400,000,000 CRO coins.The top exchanges for trading in Crypto.com Coin are currently Huobi Global, OKEx, HBTC, Xtheta Global, and CoinTiger. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/crypto-com-coin/
SOL,$14.29,$-0.1432,0.99%,$13.46,$14.68,"$166,752,847.01",3.37%,,,,,$13.46,$15.22,$14.97,$13.96,"$178,549,851.50",$11.49,$18.15,$4.48,$18.15,$1.09,$18.15,$0.5052,$18.15,$18.15,21.26%,$0.5052,2728.74%,6394.16%,"261,900,137 SOL","488,630,611 SOL","488,630,611 SOL","The live Solana price today is $14.29 USD with a 24-hour trading volume of $166,752,847 USD. Solana is down 0.99% in the last 24 hours. The current CoinMarketCap ranking is #22, with a live market cap of $3,742,411,864 USD. It has a circulating supply of 261,900,137 SOL coins and a max. supply of 488,630,611 SOL coins.The top exchanges for trading in Solana are currently Binance, Huobi Global, OKEx, FTX, and HitBTC. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/solana/
EOS,$3.90,$0.2500,6.85%,$3.58,$4.04,"$2,803,563,804.46",38.98%,,,,,$3.58,$3.82,$3.70,$3.67,"$2,190,267,121.15",$3.28,$4.09,$2.96,$5.56,$2.03,$5.56,$1.46,$5.56,$22.89,82.96%,$0.4802,712.27%,278.2%,"951,016,400 EOS","1,027,516,811 EOS",No Data,"The live EOS price today is $3.90 USD with a 24-hour trading volume of $2,803,563,804 USD. EOS is up 6.85% in the last 24 hours. The current CoinMarketCap ranking is #23, with a live market cap of $3,709,420,978 USD. It has a circulating supply of 951,016,400 EOS coins and the max. supply is not available.The top exchanges for trading in EOS are currently Binance, Huobi Global, OKEx, HBTC, and Bybit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/eos/
BSV,$189.06,$5.70,3.11%,$181.79,$193.90,"$643,465,465.08",5.12%,,,,,$180.81,$191.30,$185.76,$185.45,"$681,388,563.18",$171.65,$201.11,$169.50,$282.14,$151.15,$324.54,$88.07,$324.54,$441.20,57.15%,$36.87,412.84%,114.11%,"18,667,745 BSV","18,667,745 BSV","21,000,000 BSV","The live Bitcoin SV price today is $189.06 USD with a 24-hour trading volume of $643,465,465 USD. Bitcoin SV is up 3.11% in the last 24 hours. The current CoinMarketCap ranking is #24, with a live market cap of $3,529,371,206 USD. It has a circulating supply of 18,667,745 BSV coins and a max. supply of 21,000,000 BSV coins.The top exchanges for trading in Bitcoin SV are currently Huobi Global, OKEx, HBTC, BiKi, and Hydax Exchange. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/bitcoin-sv/
TRX,$0.04897,$0.001892,4.02%,$0.04558,$0.04963,"$1,337,385,147.23",1.32%,,,,,$0.04558,$0.04884,$0.04781,$0.04685,"$1,404,555,443.49",$0.04261,$0.04991,$0.03235,$0.06385,$0.02413,$0.06385,$0.007516,$0.06385,$0.3004,83.70%,$0.001091,4387.19%,2287.19%,"71,659,657,369 TRX","100,850,743,812 TRX",No Data,"The live TRON price today is $0.048967 USD with a 24-hour trading volume of $1,337,385,147 USD. TRON is up 4.02% in the last 24 hours. The current CoinMarketCap ranking is #25, with a live market cap of $3,508,954,076 USD. It has a circulating supply of 71,659,657,369 TRX coins and the max. supply is not available.The top exchanges for trading in TRON are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/tron/
MIOTA,$1.22,$0.05105,4.36%,$1.13,$1.26,"$111,968,929.81",8.93%,,,,,$1.13,$1.23,$1.21,$1.18,"$111,558,889.51",$1.02,$1.26,$0.4090,$1.58,$0.2536,$1.58,$0.07962,$1.58,$5.69,78.50%,$0.07962,1436.19%,207207.36%,"2,779,530,283 MIOTA","2,779,530,283 MIOTA","2,779,530,283 MIOTA","The live IOTA price today is $1.22 USD with a 24-hour trading volume of $111,968,930 USD. IOTA is up 4.36% in the last 24 hours. The current CoinMarketCap ranking is #26, with a live market cap of $3,399,680,839 USD. It has a circulating supply of 2,779,530,283 MIOTA coins and a max. supply of 2,779,530,283 MIOTA coins.The top exchanges for trading in IOTA are currently Binance, Huobi Global, OKEx, Upbit, and HitBTC. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/iota/
VET,$0.04945,$0.005633,12.86%,$0.04164,$0.05022,"$501,797,711.20",15.57%,,,,,$0.04164,$0.04652,$0.04566,$0.04381,"$433,571,004.67",$0.03656,$0.05022,$0.02697,$0.06044,$0.01204,$0.06044,$0.001678,$0.06044,$0.06044,18.19%,$0.001678,2847.56%,228.78%,"64,315,576,989 VET","86,712,634,466 VET","86,712,634,466 VET","The live VeChain price today is $0.049450 USD with a 24-hour trading volume of $501,797,711 USD. VeChain is up 12.86% in the last 24 hours. The current CoinMarketCap ranking is #27, with a live market cap of $3,180,407,151 USD. It has a circulating supply of 64,315,576,989 VET coins and a max. supply of 86,712,634,466 VET coins.The top exchanges for trading in VeChain are currently Binance, Huobi Global, Hotcoin Global, FTX, and Upbit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/vechain/
FTT,$32.04,$2.13,7.12%,$28.93,$33.05,"$87,995,950.88",13.19%,,,,,$28.93,$31.17,$29.93,$29.64,"$99,250,821.47",$24.70,$33.05,$11.87,$34.81,$4.05,$34.81,$1.95,$34.81,$34.81,7.98%,$0.8313,3753.81%,3101.02%,"94,346,958 FTT","345,219,294 FTT",No Data,"The live FTX Token price today is $32.04 USD with a 24-hour trading volume of $87,995,951 USD. FTX Token is up 7.12% in the last 24 hours. The current CoinMarketCap ranking is #28, with a live market cap of $3,022,532,542 USD. It has a circulating supply of 94,346,958 FTT coins and the max. supply is not available.The top exchanges for trading in FTX Token are currently Binance, Huobi Global, FTX, HitBTC, and UPEX. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/ftx-token/
XTZ,$3.90,$0.2704,7.44%,$3.51,$4.00,"$542,783,520.50",27.52%,,,,,$3.51,$3.80,$3.63,$3.68,"$462,184,154.34",$3.18,$4.00,$2.83,$5.58,$1.64,$5.58,$1.02,$5.58,$5.58,29.98%,$0.3146,1141.02%,730.78%,"761,822,094 XTZ","761,822,094 XTZ",No Data,"The live Tezos price today is $3.90 USD with a 24-hour trading volume of $542,783,521 USD. Tezos is up 7.44% in the last 24 hours. The current CoinMarketCap ranking is #29, with a live market cap of $2,974,647,847 USD. It has a circulating supply of 761,822,094 XTZ coins and the max. supply is not available.The top exchanges for trading in Tezos are currently Binance, Huobi Global, OKEx, HBTC, and Bybit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/tezos/
LUNA,$7.25,$0.9101,14.35%,$6.30,$8.20,"$443,470,562.69",85.08%,,,,,$6.23,$6.78,$6.75,$6.46,"$186,109,178.46",$5.00,$8.20,$1.80,$8.41,$0.4464,$8.41,$0.1201,$8.41,$8.41,13.72%,$0.1199,5950.82%,325.35%,"402,852,484 LUNA","957,947,229 LUNA",No Data,"The live Terra price today is $7.25 USD with a 24-hour trading volume of $443,470,563 USD. Terra is up 14.35% in the last 24 hours. The current CoinMarketCap ranking is #30, with a live market cap of $2,921,865,329 USD. It has a circulating supply of 402,852,484 LUNA coins and the max. supply is not available.The top exchanges for trading in Terra are currently Binance, Huobi Global, OKEx, Upbit, and BiONE. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/terra/
BUSD,$1.00,$0.00010000,0.01%,$0.9997,$1.00,"$3,680,659,755.46",7.07%,,,,,$0.9997,$1.00,$1.00,$1.00,"$3,505,670,001.32",$0.9993,$1.00,$0.9980,$1.00,$0.9962,$1.00,$0.8861,$1.11,$1.11,9.63%,$0.8861,12.85%,0.56%,"2,822,573,883 BUSD","2,822,573,883 BUSD",No Data,"The live Binance USD price today is $1.00 USD with a 24-hour trading volume of $3,680,659,755 USD. Binance USD is up 0.01% in the last 24 hours. The current CoinMarketCap ranking is #33, with a live market cap of $2,822,573,883 USD. It has a circulating supply of 2,822,573,883 BUSD coins and the max. supply is not available.The top exchanges for trading in Binance USD are currently Binance, BiKi, CoinTiger, VCC Exchange, and HitBTC. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/binance-usd/
NEO,$40.25,$2.73,7.29%,$36.20,$41.26,"$895,905,571.44",18.67%,,,,,$36.20,$39.50,$38.14,$37.67,"$782,221,652.31",$32.01,$42.83,$22.62,$55.28,$12.43,$55.28,$4.23,$55.28,$196.85,79.55%,$0.07229,55577.97%,22076.12%,"70,538,831 NEO","100,000,000 NEO","100,000,000 NEO","The live Neo price today is $40.25 USD with a 24-hour trading volume of $895,905,571 USD. Neo is up 7.29% in the last 24 hours. The current CoinMarketCap ranking is #31, with a live market cap of $2,839,032,652 USD. It has a circulating supply of 70,538,831 NEO coins and a max. supply of 100,000,000 NEO coins.The top exchanges for trading in Neo are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/neo/
